# WAVE SPEC ERROR
3.6 0.00042877394913101247 0.00018776329916412934
4.5 0.00010302667939776115 3.671571249868906e-05
5.8 0.0016172732138794942 8.72735133887266e-05
8.0 0.0009776644648095145 0.00016861631714294506
24.0 0.0013035013539629795 0.0003748869924009713
70.0 0.0378314040925561 0.00660833784562661
100.0 0.06684832554392071 0.011205895348578885
155.0 0.07892328151081829 0.00876334941518703
165.0 0.07379760532495352 0.01136252921571563
250.0 0.044728674761730855 0.005429928092119281
350.0 0.023566484844435805 0.00266318455549157
500.0 0.010222289205331199 0.0011183933403032355
